Dimension,Epochs,Length_of_Walk,Num_Walks,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef
32,1,40,5,0.8585418933623504,0.6234020620913016,0.380952380952381,0.33592767899210946
32,1,40,10,0.9080522306855278,0.75324273113959,0.6381156316916489,0.6043700812805236
32,1,40,20,0.911316648531012,0.7682935748782334,0.6597077244258873,0.6228496360514999
32,1,80,5,0.9004352557127312,0.7414557605761605,0.6114649681528662,0.5708337321476508
32,1,80,10,0.9026115342763874,0.7616972597636207,0.6369168356997972,0.5896556116032036
32,1,80,20,0.9189336235038085,0.7859134616483474,0.691511387163561,0.6579527875093599
32,1,120,5,0.9085963003264418,0.7637714648802219,0.65,0.6109972536522149
32,1,120,10,0.9145810663764962,0.7745950443068499,0.6722338204592903,0.6374786406483665
32,1,120,20,0.9216539717083787,0.7875191135430166,0.6987447698744769,0.6689702107742119
32,3,40,5,0.9004352557127312,0.7516633639378585,0.6226804123711341,0.5766421039330558
32,3,40,10,0.9183895538628944,0.7797594150627289,0.6848739495798319,0.6538469252056097
32,3,40,20,0.9091403699673558,0.7699255114658402,0.6570841889117044,0.6158539162489067
32,3,80,5,0.9096844396082698,0.7512896641730493,0.6391304347826087,0.6100316660620834
32,3,80,10,0.9243743199129488,0.7949576816443704,0.7110187110187111,0.6817344275994958
32,3,80,20,0.9200217627856365,0.7734316609411749,0.6825053995680345,0.6588861858218209
32,3,120,5,0.9167573449401524,0.7715048786675718,0.673773987206823,0.6448878623142167
32,3,120,10,0.9243743199129488,0.7949576816443704,0.7110187110187111,0.6817344275994958
32,3,120,20,0.9227421109902068,0.7896196033525554,0.702928870292887,0.6738574166830673
32,5,40,5,0.9096844396082698,0.7512896641730493,0.6391304347826087,0.6100316660620834
32,5,40,10,0.9134929270946681,0.7593704930322708,0.6550976138828634,0.6280865795078321
32,5,40,20,0.9091403699673558,0.7495103047424443,0.636165577342048,0.6072281596456501
32,5,80,5,0.9167573449401524,0.7802542529775987,0.6819126819126818,0.6477504558310392
32,5,80,10,0.9221980413492927,0.7951313891803061,0.7063655030800823,0.6733628875893551
32,5,80,20,0.9309031556039173,0.8075606205016034,0.7359667359667359,0.7108635462581728
32,5,120,5,0.9314472252448314,0.8078817508805372,0.7374999999999999,0.713173823874642
32,5,120,10,0.9298150163220892,0.8040019016403934,0.7306889352818373,0.7057473287670769
32,5,120,20,0.9194776931447225,0.7935257372856369,0.6991869918699187,0.662733074888564
32,10,40,5,0.9047878128400435,0.7381918874009467,0.6153846153846154,0.5856027971892359
32,10,40,10,0.9211099020674647,0.7842815250607404,0.6947368421052631,0.6659234782332553
32,10,40,20,0.9281828073993471,0.8001220524002496,0.7238493723849373,0.6982934462273439
32,10,80,5,0.9162132752992383,0.7697255192369667,0.670940170940171,0.6421776104708128
32,10,80,10,0.9249183895538629,0.8127775606433578,0.7261904761904763,0.6894842584646458
32,10,80,20,0.926550598476605,0.7962422031601057,0.7169811320754716,0.6908118500198688
32,10,120,5,0.9167573449401524,0.7773377948742564,0.679245283018868,0.6467283631899367
32,10,120,10,0.9270946681175191,0.7878139592290128,0.7112068965517242,0.6918545027177596
32,10,120,20,0.9281828073993471,0.8001220524002496,0.7238493723849373,0.6982934462273439
64,1,40,5,0.8737758433079434,0.6615582937348721,0.462962962962963,0.42345835371332524
64,1,40,10,0.8998911860718172,0.7367599430422133,0.6051502145922747,0.5663871579121718
64,1,40,20,0.911860718171926,0.765698247153825,0.6582278481012658,0.6238131788962873
64,1,80,5,0.8998911860718172,0.7367599430422133,0.6051502145922747,0.5663871579121718
64,1,80,10,0.911316648531012,0.7493365972065085,0.6401766004415012,0.6161859168065722
64,1,80,20,0.9173014145810664,0.774742467149848,0.6779661016949153,0.6480220333337949
64,1,120,5,0.9026115342763874,0.7514896564019227,0.626304801670146,0.5838389571265225
64,1,120,10,0.911860718171926,0.7700729343088383,0.6625000000000001,0.6255939065411331
64,1,120,20,0.9200217627856365,0.7850974933545439,0.6931106471816283,0.6618603149764773
64,3,40,5,0.8949945593035908,0.7309533115284663,0.5902335456475584,0.5460045370508753
64,3,40,10,0.9036996735582155,0.7419243137980924,0.6177105831533478,0.5829631719579077
64,3,40,20,0.9281828073993471,0.7957473652452363,0.7203389830508475,0.6975652907520911
64,3,80,5,0.9047878128400435,0.7279842840392488,0.6031746031746033,0.5820715899418095
64,3,80,10,0.9243743199129488,0.7934994525926993,0.7098121085594989,0.681365654438966
64,3,80,20,0.926006528835691,0.7871716984711451,0.7081545064377682,0.6869842932040376
64,3,120,5,0.9189336235038085,0.771331171131636,0.6781857451403887,0.6538246515642268
64,3,120,10,0.9216539717083787,0.7802279682846609,0.6923076923076924,0.6671824288974088
64,3,120,20,0.9292709466811752,0.7920149388480905,0.7198275862068965,0.7019529241879002
64,5,40,5,0.8988030467899891,0.7259100789226476,0.5903083700440529,0.5568431719872526
64,5,40,10,0.9124047878128401,0.7558117741710608,0.6492374727668845,0.6225639177745657
64,5,40,20,0.9232861806311208,0.7841078175248047,0.699360341151386,0.6748228024832623
64,5,80,5,0.9124047878128401,0.7543535451193897,0.6477024070021882,0.6221475759989177
64,5,80,10,0.9194776931447225,0.7847763629756102,0.6916666666666667,0.6596527632819421
64,5,80,20,0.9309031556039173,0.7973530171399055,0.728051391862955,0.7096403767608827
64,5,120,5,0.9194776931447225,0.7847763629756102,0.6916666666666667,0.6596527632819421
64,5,120,10,0.9211099020674647,0.7857397541124116,0.6960167714884695,0.6663210240032399
64,5,120,20,0.9309031556039173,0.8002694752432478,0.7303609341825903,0.7098772246895932
64,10,40,5,0.9080522306855278,0.7299110663128519,0.6114942528735632,0.5972496907874648
64,10,40,10,0.9194776931447225,0.7629029272005431,0.6711111111111111,0.6548643715111563
64,10,40,20,0.9232861806311208,0.7797331303697914,0.6954643628509719,0.6740707885946036
64,10,80,5,0.9080522306855278,0.7372022115712076,0.6202247191011235,0.5988892876749439
64,10,80,10,0.9336235038084875,0.8120827304996148,0.7458333333333333,0.7229049258005875
64,10,80,20,0.9309031556039173,0.8061023914499322,0.7348643006263047,0.7106236636326991
64,10,120,5,0.9145810663764962,0.755638066635125,0.6534216335540839,0.6317587479136106
64,10,120,10,0.9319912948857454,0.8052864231561288,0.7368421052631579,0.7151270091226699
64,10,120,20,0.9183895538628944,0.7739264988560444,0.6794871794871795,0.6521795378414511
128,1,40,5,0.8819368879216539,0.6955398304523024,0.5251641137855579,0.47828950632489314
128,1,40,10,0.9102285092491839,0.7647348560170233,0.6540880503144654,0.6173393719699819
128,1,40,20,0.9189336235038085,0.7829970035450051,0.6889352818371607,0.6569839801108551
128,1,80,5,0.8944504896626768,0.7291739520978613,0.5872340425531914,0.5430645902920719
128,1,80,10,0.9227421109902068,0.7896196033525554,0.702928870292887,0.6738574166830673
128,1,80,20,0.9042437431991295,0.7101644050402613,0.5789473684210527,0.5759359448197573
128,1,120,5,0.9047878128400435,0.7556906360210003,0.6346555323590813,0.5935916268577668
128,1,120,10,0.9151251360174102,0.7676250294274279,0.6666666666666667,0.6371766467854936
128,1,120,20,0.9232861806311208,0.7797331303697914,0.6954643628509719,0.6740707885946036
128,3,40,5,0.9031556039173014,0.7372284962641452,0.6113537117903931,0.5787924647801068
128,3,40,10,0.9058759521218716,0.7286265447971164,0.6059225512528474,0.5870443742959257
128,3,40,20,0.911860718171926,0.73361720801706,0.6232558139534884,0.6160618734888449
128,3,80,5,0.9058759521218716,0.7315430029004587,0.6094808126410836,0.5878474097256279
128,3,80,10,0.911860718171926,0.7467412694821001,0.6383928571428572,0.6179065462034279
128,3,80,20,0.9173014145810664,0.7557854894781231,0.6591928251121075,0.6440408625091432
128,3,120,5,0.9042437431991295,0.7378707570220129,0.6140350877192984,0.5833152997376085
128,3,120,10,0.9194776931447225,0.7570700109938585,0.665158371040724,0.6544845647846455
128,3,120,20,0.9140369967355821,0.7509422491011778,0.6473214285714286,0.6284269298123141
128,5,40,5,0.8933623503808488,0.6964506522032287,0.5420560747663551,0.521255278275258
128,5,40,10,0.9140369967355821,0.7509422491011778,0.6473214285714286,0.6284269298123141
128,5,40,20,0.9042437431991295,0.7218302374536304,0.5944700460829493,0.5779663287643725
128,5,80,5,0.9036996735582155,0.7200508780230254,0.5912240184757507,0.5750425596241092
128,5,80,10,0.9091403699673558,0.734928014225733,0.6195899772209568,0.6032246572160467
128,5,80,20,0.9200217627856365,0.7719734318895037,0.6811279826464207,0.658605612980159
128,5,120,5,0.9096844396082698,0.7367073736563379,0.6227272727272728,0.606059605071617
128,5,120,10,0.9183895538628944,0.7608024373910043,0.6666666666666666,0.6496322656778881
128,5,120,20,0.9374319912948857,0.8157888722038229,0.7578947368421054,0.7397287745673773
128,10,40,5,0.9015233949945594,0.7129334403006055,0.5780885780885782,0.5632447116787229
128,10,40,10,0.9036996735582155,0.7185926489713543,0.5893271461716938,0.5746867236751184
128,10,40,20,0.9173014145810664,0.7601601766331365,0.663716814159292,0.6446179958300411
128,10,80,5,0.9183895538628944,0.7549695211843197,0.6606334841628959,0.649136845875249
128,10,80,10,0.9156692056583242,0.748989182134637,0.6485260770975058,0.6356996480444616
128,10,80,20,0.9194776931447225,0.7643611562522142,0.6725663716814159,0.6550270718754937
128,10,120,5,0.9124047878128401,0.7383130255510071,0.6298850574712643,0.6190758152862691
128,10,120,10,0.9173014145810664,0.7572437185297942,0.6607142857142857,0.6442075052256434
128,10,120,20,0.9140369967355821,0.742192874791151,0.6376146788990825,0.6273081314123584
256,1,40,5,0.8824809575625681,0.6914862736762228,0.52,0.4769727731800391
256,1,40,10,0.9053318824809575,0.7501788501932496,0.6297872340425532,0.5928390793815989
256,1,40,20,0.9221980413492927,0.7892984729736217,0.7014613778705637,0.6716129847077217
256,1,80,5,0.911860718171926,0.765698247153825,0.6582278481012658,0.6238131788962873
256,1,80,10,0.9140369967355821,0.7596916234112046,0.6565217391304348,0.6304282916419878
256,1,80,20,0.9075081610446137,0.7208405616238912,0.5990566037735848,0.5934080517735617
256,1,120,5,0.911860718171926,0.7642400181021538,0.6567796610169492,0.6232504046246469
256,1,120,10,0.9085963003264418,0.7491891743635104,0.6347826086956522,0.6049325096671073
256,1,120,20,0.9009793253536452,0.6965717903532891,0.553921568627451,0.5578555907034057
256,3,40,5,0.9020674646354734,0.7395026936096197,0.6120689655172414,0.5757226558111435
256,3,40,10,0.9129488574537541,0.7444670721366256,0.6380090497737557,0.6223982513282669
256,3,40,20,0.9053318824809575,0.7122648948498002,0.583732057416268,0.5816921411785521
256,3,80,5,0.911316648531012,0.7522530553098508,0.6433260393873085,0.617009787796274
256,3,80,10,0.9080522306855278,0.7226199210544961,0.6023529411764706,0.5962845232735721
256,3,80,20,0.9047878128400435,0.709027306367524,0.5783132530120482,0.5786864208484549
256,3,120,5,0.8911860718171926,0.6762091530157686,0.5073891625615763,0.5037583265342442
256,3,120,10,0.8998911860718172,0.6944713005437503,0.5490196078431372,0.551894562514362
256,3,120,20,0.9232861806311208,0.7724419851114357,0.6887417218543047,0.6732862975323799
256,5,40,5,0.8982589771490751,0.7007990546653045,0.5558194774346793,0.5448240433894919
256,5,40,10,0.8862894450489662,0.6572784600369814,0.46819338422391854,0.4732245893892924
256,5,40,20,0.8966267682263329,0.6940027473218183,0.5432692307692308,0.5352554941228008
256,5,80,5,0.8928182807399347,0.6888383765659392,0.5298329355608593,0.5157671955756964
256,5,80,10,0.9058759521218716,0.7067531090220494,0.5770171149144254,0.5846237721554223
256,5,80,20,0.9053318824809575,0.7224724982114981,0.5972222222222222,0.5831197870518059
256,5,120,5,0.8928182807399347,0.6684231698425432,0.49616368286445023,0.5110472869822619
256,5,120,10,0.9042437431991295,0.7159973212469458,0.5868544600938967,0.5767177881350514
256,5,120,20,0.911860718171926,0.7321589789653887,0.6214953271028036,0.6160025015316015
256,10,40,5,0.8770402611534276,0.6255711206650256,0.39572192513368976,0.41236143485270677
256,10,40,10,0.8949945593035908,0.6813735237716477,0.5210918114143921,0.5244001357881212
256,10,40,20,0.9009793253536452,0.7140705389733428,0.5787037037037037,0.5610975203844292
256,10,80,5,0.8955386289445049,0.6787781960472393,0.5175879396984925,0.5270582875031009
256,10,80,10,0.9047878128400435,0.7119437644708663,0.5823389021479713,0.5788740774453977
256,10,80,20,0.9183895538628944,0.7622606664426754,0.668141592920354,0.6498225338527673
256,10,120,5,0.9009793253536452,0.6980300194049602,0.5560975609756098,0.5579465614385418
256,10,120,10,0.9107725788900979,0.7256838020008366,0.6113744075829384,0.610347786655289
256,10,120,20,0.9194776931447225,0.7570700109938585,0.665158371040724,0.6544845647846455
