Dimension,Epochs,Length_of_Walk,Num_Walks,Context_Size,Return_Hyperparam,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef
32,5,80,10,5,0.5,0.9238302502720348,0.7902618641104231,0.7058823529411766,0.6783929946039307
32,5,80,10,5,1,0.9102285092491839,0.7632766269653521,0.6526315789473683,0.6167199473438406
32,5,80,10,5,1.5,0.9183895538628944,0.7870505603210847,0.691358024691358,0.6563203011297335
32,5,80,10,10,0.5,0.9200217627856365,0.7865557224062151,0.6943866943866943,0.6623150151603777
32,5,80,10,10,1,0.9254624591947769,0.8028910876605937,0.7198364008179959,0.6881585132908004
32,5,80,10,10,1.5,0.9151251360174102,0.7690832584790991,0.6680851063829786,0.637636119562173
32,5,80,10,20,0.5,0.9227421109902068,0.79545251955924,0.7078189300411523,0.6755307719648981
32,5,80,10,20,1,0.9314472252448314,0.8224640413972486,0.7479999999999999,0.7164126944955702
32,5,80,10,20,1.5,0.911860718171926,0.7715311633605094,0.6639004149377594,0.6262168853965601
32,5,80,20,5,0.5,0.9211099020674647,0.7886562122157539,0.6985446985446986,0.6671698682701572
32,5,80,20,5,1,0.926550598476605,0.8079080355734749,0.7261663286004056,0.6937776161569785
32,5,80,20,5,1.5,0.9341675734494015,0.8211532351885755,0.7535641547861508,0.7266125849165466
32,5,80,20,10,0.5,0.9221980413492927,0.7805490986635948,0.6937901498929336,0.6695374070540792
32,5,80,20,10,1,0.9227421109902068,0.7823284580941998,0.6965811965811967,0.672183392582728
32,5,80,20,10,1.5,0.9145810663764962,0.7848026476685477,0.6815415821501013,0.641716613880091
32,5,80,20,20,0.5,0.9232861806311208,0.8001483370931872,0.7128309572301427,0.6790887812343669
32,5,80,20,20,1,0.9243743199129488,0.7832918492310013,0.7010752688172044,0.6793363869779946
32,5,80,20,20,1.5,0.9254624591947769,0.8028910876605937,0.7198364008179959,0.6881585132908004
32,5,120,10,5,0.5,0.9281828073993471,0.8074131976586052,0.7295081967213115,0.6999029387917904
32,5,120,10,5,1,0.9298150163220892,0.8083765887954069,0.7340206185567011,0.7065904316950592
32,5,120,10,5,1.5,0.9238302502720348,0.7975530093687788,0.7119341563786008,0.6803333896736893
32,5,120,10,10,0.5,0.9205658324265505,0.7854186237334777,0.694560669456067,0.6640830048653567
32,5,120,10,10,1,0.9134929270946681,0.772494554497311,0.6680584551148225,0.6326023057827442
32,5,120,10,10,1.5,0.9243743199129488,0.7949576816443704,0.7110187110187111,0.6817344275994958
32,5,120,10,20,0.5,0.9249183895538629,0.8084028734883445,0.7228915662650601,0.6878987232771049
32,5,120,10,20,1,0.9254624591947769,0.816015149125634,0.7297830374753452,0.6926257379893396
32,5,120,10,20,1.5,0.9221980413492927,0.8009643053869906,0.7111111111111111,0.6753712260627102
32,5,120,20,5,0.5,0.9162132752992383,0.7901407259603628,0.6895161290322581,0.6497670217317651
32,5,120,20,5,1,0.9173014145810664,0.7732842380981768,0.676595744680851,0.6475910173800784
32,5,120,20,5,1.5,0.9254624591947769,0.805807545763936,0.7221095334685599,0.6890447977681706
32,5,120,20,10,0.5,0.9270946681175191,0.8096873950040799,0.7287449392712552,0.6963611061009334
32,5,120,20,10,1,0.9178454842219804,0.7823547427871373,0.686070686070686,0.6526053089408187
32,5,120,20,10,1.5,0.9298150163220892,0.8025436725887223,0.7295597484276729,0.7055063456298462
32,5,120,20,20,0.5,0.9309031556039173,0.8061023914499322,0.7348643006263047,0.7106236636326991
32,5,120,20,20,1,0.9205658324265505,0.7825021656301355,0.6919831223628692,0.6632658509214534
32,5,120,20,20,1.5,0.9319912948857454,0.8198687136728402,0.7474747474747474,0.7177931783456805
32,10,80,10,5,0.5,0.9151251360174102,0.7749161746857837,0.6736401673640168,0.6396469753210801
32,10,80,10,5,1,0.9194776931447225,0.7789434467689256,0.6864406779661018,0.6579306848174541
32,10,80,10,5,1.5,0.926550598476605,0.8137409517801595,0.7305389221556886,0.6956616661156079
32,10,80,10,10,0.5,0.9205658324265505,0.7810439365784644,0.690677966101695,0.6628850105592837
32,10,80,10,10,1,0.9249183895538629,0.8011117282299888,0.7172131147540983,0.6855560694791292
32,10,80,10,10,1.5,0.9173014145810664,0.7776589252531902,0.680672268907563,0.6489377113259456
32,10,80,10,20,0.5,0.9183895538628944,0.7812176441144001,0.6861924686192468,0.654308593047646
32,10,80,10,20,1,0.9363438520130577,0.8180630695492975,0.7567567567567568,0.7351378118070704
32,10,80,10,20,1.5,0.9303590859630033,0.7999483448643139,0.7288135593220338,0.7074739422357502
32,10,80,20,5,0.5,0.9238302502720348,0.7873454060070808,0.7033898305084746,0.6777479877847725
32,10,80,20,5,1,0.9194776931447225,0.7935257372856369,0.6991869918699187,0.662733074888564
32,10,80,20,5,1.5,0.926006528835691,0.7886299275228162,0.7094017094017092,0.6871862836386856
32,10,80,20,10,0.5,0.9173014145810664,0.7820336124082036,0.6846473029045643,0.650438086566575
32,10,80,20,10,1,0.9287268770402611,0.8106507861408814,0.7331975560081466,0.7028506830754567
32,10,80,20,10,1.5,0.9249183895538629,0.7865294377132774,0.7051282051282051,0.6821853199533664
32,10,80,20,20,0.5,0.9314472252448314,0.8180893542422352,0.7449392712550608,0.7152536981885762
32,10,80,20,20,1,0.9249183895538629,0.8025699572816599,0.7183673469387755,0.6859928365572362
32,10,80,20,20,1.5,0.9151251360174102,0.7734579456341125,0.6722689075630252,0.6391192835666172
32,10,120,10,5,0.5,0.926006528835691,0.795921072781172,0.7154811715481173,0.6885190344096332
32,10,120,10,5,1,0.9254624591947769,0.7897670261955536,0.7091295116772823,0.6850480295928179
32,10,120,10,5,1.5,0.9243743199129488,0.800790597851055,0.7157464212678936,0.6833862700542002
32,10,120,10,10,0.5,0.9189336235038085,0.7932046069067031,0.6977687626774848,0.6606478874353229
32,10,120,10,10,1,0.9249183895538629,0.7909041248682909,0.7088607594936709,0.6829921869340365
32,10,120,10,10,1.5,0.9178454842219804,0.7838129718388085,0.6873706004140786,0.6531190762270949
32,10,120,10,20,0.5,0.9287268770402611,0.8121090151925525,0.7342799188640973,0.7032432529345944
32,10,120,10,20,1,0.9238302502720348,0.7931783222137654,0.7083333333333334,0.679114967133833
32,10,120,10,20,1.5,0.9189336235038085,0.7844552325966763,0.6902286902286903,0.6574601620505982
32,10,120,20,5,0.5,0.9276387377584331,0.7925097767629601,0.716417910447761,0.694779429262626
32,10,120,20,5,1,0.9254624591947769,0.7999746295572515,0.7175257731958763,0.6873388275821698
32,10,120,20,5,1.5,0.9341675734494015,0.8269861513952601,0.7575150300601201,0.7278989074513675
32,10,120,20,10,0.5,0.9232861806311208,0.8030647951965295,0.7151515151515151,0.6800847763163735
32,10,120,20,10,1,0.9249183895538629,0.8171522477983713,0.7294117647058823,0.6911932566361657
32,10,120,20,10,1.5,0.9314472252448314,0.8151728961388929,0.7428571428571428,0.714566479007741
32,10,120,20,20,0.5,0.9227421109902068,0.7910778324042266,0.7041666666666666,0.6742494161708603
32,10,120,20,20,1,0.9194776931447225,0.773110530562241,0.6810344827586207,0.6565100275722677
32,10,120,20,20,1.5,0.9270946681175191,0.7951051044873685,0.7172995780590719,0.692855354940328
64,5,80,10,5,0.5,0.9249183895538629,0.7865294377132774,0.7051282051282051,0.6821853199533664
64,5,80,10,5,1,0.9276387377584331,0.7939680058146312,0.7176220806794056,0.6949797076315279
64,5,80,10,5,1.5,0.9200217627856365,0.7675987447344903,0.6769230769230768,0.6579005488002317
64,5,80,10,10,0.5,0.9205658324265505,0.7693781041650953,0.6798245614035089,0.6605787594112296
64,5,80,10,10,1,0.9303590859630033,0.801406573915985,0.729957805907173,0.7076501069497654
64,5,80,10,10,1.5,0.9281828073993471,0.8044967395552629,0.7272727272727273,0.6992028843265364
64,5,80,10,20,0.5,0.9243743199129488,0.7774589330243167,0.6958424507658644,0.6786632462279988
64,5,80,10,20,1,0.9205658324265505,0.7795857075267932,0.6893617021276596,0.6625233641069365
64,5,80,10,20,1.5,0.9140369967355821,0.7684409977212314,0.6652542372881356,0.633159056108306
64,5,80,20,5,0.5,0.9270946681175191,0.790730417332355,0.7136752136752136,0.6921872473240048
64,5,80,20,5,1,0.926550598476605,0.787492828850079,0.7096774193548386,0.6894103736597127
64,5,80,20,5,1.5,0.9221980413492927,0.7790908696119236,0.6924731182795698,0.6692624002962764
64,5,80,20,10,0.5,0.9189336235038085,0.7844552325966763,0.6902286902286903,0.6574601620505982
64,5,80,20,10,1,0.9221980413492927,0.7820073277152659,0.6950959488272922,0.6698336457884214
64,5,80,20,10,1.5,0.9194776931447225,0.7745687596139121,0.6824034334763949,0.6568350093810712
64,5,80,20,20,0.5,0.9249183895538629,0.7748636052999083,0.6946902654867256,0.681049761989125
64,5,80,20,20,1,0.9319912948857454,0.8038281941044576,0.7357293868921776,0.7149735973203117
64,5,80,20,20,1.5,0.926550598476605,0.7831181416950657,0.7058823529411765,0.6890188696665327
64,5,120,10,5,0.5,0.9238302502720348,0.7858871769554097,0.7021276595744681,0.6774557108337945
64,5,120,10,5,1,0.9243743199129488,0.7832918492310013,0.7010752688172044,0.6793363869779946
64,5,120,10,5,1.5,0.9238302502720348,0.7844289479037386,0.7008547008547009,0.6771843562680472
64,5,120,10,10,0.5,0.9270946681175191,0.7921886463840262,0.7148936170212766,0.6923880575606527
64,5,120,10,10,1,0.9162132752992383,0.7682672901852956,0.6695278969957081,0.641760367469588
64,5,120,10,10,1.5,0.9276387377584331,0.7998009220213158,0.722338204592902,0.6959946590358326
64,5,120,10,20,0.5,0.9292709466811752,0.8022225422097884,0.7280334728033472,0.7031806521361992
64,5,120,10,20,1,0.9243743199129488,0.7876665363860147,0.7048832271762208,0.6800821905734628
64,5,120,10,20,1.5,0.9287268770402611,0.79606849562417,0.721868365180467,0.699945546650883
64,5,120,20,5,0.5,0.9292709466811752,0.8007643131581172,0.7268907563025211,0.7029390640022515
64,5,120,20,5,1,0.9292709466811752,0.8007643131581172,0.7268907563025211,0.7029390640022515
64,5,120,20,5,1.5,0.9243743199129488,0.7789171620759879,0.6971677559912854,0.6787950309139223
64,5,120,20,10,0.5,0.9238302502720348,0.7902618641104231,0.7058823529411766,0.6783929946039307
64,5,120,20,10,1,0.9357997823721437,0.8119090229636792,0.7510548523206751,0.7323080269654942
64,5,120,20,10,1.5,0.9298150163220892,0.8040019016403934,0.7306889352818373,0.7057473287670769
64,5,120,20,20,0.5,0.9281828073993471,0.8015802814519207,0.725,0.6985771709857239
64,5,120,20,20,1,0.9151251360174102,0.7603338841690723,0.6593886462882096,0.635165221956389
64,5,120,20,20,1.5,0.9314472252448314,0.8122564380355506,0.7407407407407407,0.7139517136352272
64,10,80,10,5,0.5,0.9189336235038085,0.7873716907000186,0.692783505154639,0.6584614214128357
64,10,80,10,5,1,0.9189336235038085,0.7727894001833071,0.6795698924731183,0.6541514202736992
64,10,80,10,5,1.5,0.9173014145810664,0.774742467149848,0.6779661016949153,0.6480220333337949
64,10,80,10,10,0.5,0.9194776931447225,0.7818599048722679,0.6890756302521008,0.6587561390852739
64,10,80,10,10,1,0.9276387377584331,0.7954262348663024,0.7188160676532771,0.6952019660576211
64,10,80,10,10,1.5,0.9309031556039173,0.8046441623982611,0.7337526205450734,0.710404510833172
64,10,80,10,20,0.5,0.9227421109902068,0.783786687145871,0.6978723404255318,0.6724782619248418
64,10,80,10,20,1,0.9194776931447225,0.7643611562522142,0.6725663716814159,0.6550270718754937
64,10,80,10,20,1.5,0.9200217627856365,0.7690569737861614,0.6783369803063457,0.6581120934174238
64,10,80,20,5,0.5,0.9221980413492927,0.7747161824569102,0.6884531590413943,0.668571192161312
64,10,80,20,5,1,0.9314472252448314,0.806423521828866,0.7364016736401674,0.7129550639539098